RK	PLAYER	TEAM	CONF	MIN%	OR	DR	AST	BLK	STL	FTR	2P	3P
1	Jr	6-5	A.J. Caldwell	Chattanooga	SC	80.2	1.6	14.9	13.7	1.3	2.1	9.2	15-41	.366	36-90	.400
2	Sr	6-5	A.J. Lawson	McNeese St.	Slnd	73.3	5.3	14.9	33.9	0.4	1.4	42.3	58-122	.475	11-34	.324
3	Jr	6-5	A.J. Oliver II	Old Dominion	CUSA	66.9	2.5	8.9	7.3	0.8	1.1	19.2	36-65	.554	32-102	.314
4	So	6-2	A.J. Plitzuweit	South Dakota	Sum	75.6	2.4	11.6	23.4	0.3	1.5	38.3	76-165	.461	52-117	.444
5	Jr	6-6	A.J. Reeves	Providence	BE	77.2	2.3	10.6	10.3	0.3	1.9	23.2	31-74	.419	48-150	.320
6	Fr	6-5	A.J. Staton-McCray	Samford	SC	65.2	3.7	15.6	11.3	1.7	3.4	25.8	28-76	.368	21-83	.253
7	Jr	6-2	A.J. Walker	Air Force	MWC	91.1	1.5	10.0	19.2	0.6	2.7	25.3	85-163	.521	52-133	.391
8	Sr	6-7	AJ Bramah	Robert Morris	Horz	51.7	9.4	26.4	11.0	1.4	2.4	42.2	88-172	.512	0-1	.000
9	Jr	6-6	AJ Lawson	South Carolina	SEC	78.3	3.0	12.0	8.0	0.5	2.6	26.9	58-129	.450	59-168	.351
10	Sr	6-7	AJ Wilson	George Mason	A10	52.0	8.0	17.6	7.3	9.8	0.5	23.5	63-150	.420	5-20	.250
11	Sr	6-8	Aamir Simms	Clemson	ACC	73.9	10.2	16.3	22.3	3.1	1.8	27.0	102-178	.573	22-55	.400
12	Jr	6-1	Aaron Clarke	Sacred Heart	NEC	69.9	0.9	4.1	19.6	0.2	1.5	44.4	38-85	.447	24-93	.258
13	Jr	6-6	Aaron Henry	Michigan St.	B10	80.9	4.8	14.6	25.2	4.1	2.4	28.9	139-282	.493	24-81	.296
14	Sr	6-0	Aaron Nettles	Seattle	WAC	51.9	0.0	5.0	11.3	0.0	2.3	18.5	15-31	.484	25-77	.325
15	Sr	6-2	Aaron Thompson	Butler	BE	46.6	1.2	8.3	31.6	0.8	2.1	49.1	57-107	.533	1-5	.200
16	Jr	6-9	Aaron Wheeler	Purdue	B10	45.3	5.8	22.4	10.2	3.3	2.0	23.0	22-36	.611	17-64	.266
17	Jr	6-6	Aaron Wiggins	Maryland	B10	83.3	4.5	15.9	17.2	2.0	2.1	20.3	106-206	.515	53-153	.346
18	So	6-8	Abdoul Karim Coulibaly	Pittsburgh	ACC	56.1	7.3	12.3	7.2	4.6	1.8	32.2	44-84	.524	2-6	.333
19	Sr	6-11	Abdul Ado	Mississippi St.	SEC	68.2	11.3	16.8	4.8	8.4	1.4	45.3	77-139	.554	0-0	.000
20	Sr	6-7	Abdul Mohamed	Montana St.	BSky	54.6	6.4	26.4	10.0	1.2	1.7	49.0	38-72	.528	11-30	.367
21	Sr	6-7	Abu Kigab	Boise St.	MWC	61.9	6.7	16.4	13.8	3.4	2.5	47.1	72-134	.537	21-72	.292
22	So	6-3	Adam Flagler	Baylor	B12	53.4	4.6	7.3	9.9	0.2	2.2	25.4	38-79	.481	46-106	.434
23	Fr	6-3	Adam Miller	Illinois	B10	63.0	1.4	10.4	5.2	0.1	1.3	16.5	38-77	.494	52-153	.340
24	Jr	6-3	Adam Seiko	San Diego St.	MWC	48.2	1.4	10.0	12.0	0.3	1.5	24.5	7-15	.467	27-79	.342
25	Jr	6-6	Adam Thistlewood	Colorado St.	MWC	74.0	2.1	11.9	4.9	2.6	1.3	24.2	29-45	.644	48-133	.361
26	Fr	6-9	Adama Sanogo	Connecticut	BE	42.4	9.9	22.0	7.3	6.0	1.4	18.7	77-139	.554	0-0	.000
27	Fr	6-1	Adefolalrin Adetogun	Maine	AE	40.8	2.5	16.9	22.3	4.1	2.1	12.8	8-16	.500	4-23	.174
28	Jr	6-9	Adong Makuoi	Northern Illinois	MAC	40.0	9.0	10.1	3.3	3.5	0.6	41.7	33-60	.550	0-0	.000
29	Sr	6-6	Adonis Arms	Winthrop	BSth	40.0	6.3	24.4	19.4	2.0	2.8	43.4	50-112	.446	27-77	.351
30	Fr	6-0	Adrian Baldwin Jr.	VCU	A10	74.3	3.6	8.7	26.6	0.1	4.0	31.7	48-114	.421	13-50	.260
31	Jr	6-3	Adrian Delph	Appalachian St.	SB	83.8	1.8	14.0	7.7	1.7	2.2	16.6	57-132	.432	60-176	.341
32	Jr	6-7	Adrian Nelson	Northern Kentucky	Horz	71.8	13.6	27.2	4.5	2.3	2.1	32.6	95-137	.693	0-1	.000
33	Jr	6-1	Ahamadou Fofana	Canisius	MAAC	67.3	0.9	10.5	19.1	0.0	1.6	34.7	18-38	.474	15-60	.250
34	Sr	6-7	Aher Uguak	Loyola Chicago	MVC	61.0	5.3	15.1	8.8	0.2	2.4	43.0	69-97	.711	10-31	.323
35	Sr	5-11	Ahmed Ali	Portland	WCC	59.2	3.2	6.8	26.6	0.0	1.7	46.2	43-87	.494	31-82	.378
36	Fr	6-3	Ahmil Flowers	High Point	BSth	75.5	4.4	9.0	12.9	1.1	2.3	43.4	60-125	.480	10-48	.208
37	Jr	6-8	Ahsan Asadullah	Lipscomb	ASun	73.3	10.5	20.8	30.6	2.7	1.8	37.4	151-257	.588	0-0	.000
38	Fr	6-5	Aidan Carpenter	Siena	MAAC	41.8	3.1	4.0	9.0	1.8	1.3	23.4	21-42	.500	6-22	.273
39	Jr	6-9	Ajani Kennedy	Tennessee Martin	OVC	64.6	5.6	16.3	9.0	1.7	1.6	24.8	45-91	.495	16-58	.276
40	So	6-3	Ajare Sanni	UC Santa Barbara	BW	55.5	2.1	11.8	13.7	0.0	1.6	29.1	43-106	.406	40-100	.400
41	Jr	6-8	Ajiri Ogemuno-Johnson	Rider	MAAC	49.8	13.5	17.1	7.9	2.6	0.6	56.9	66-108	.611	0-1	.000
42	So	6-2	Al-Amir Dawes	Clemson	ACC	63.5	1.8	8.0	16.0	0.8	2.1	17.4	32-69	.464	43-109	.394
43	Jr	6-5	Alan Griffin	Syracuse	ACC	72.8	6.3	15.2	12.2	6.6	2.3	19.0	76-148	.514	56-158	.354
44	So	6-5	Alec Pfriem	Bellarmine	ASun	47.5	5.3	18.7	10.1	1.1	1.0	35.2	42-69	.609	8-19	.421
45	So	6-2	Alec Woodard	Austin Peay	OVC	45.0	3.8	11.6	9.4	0.0	3.1	16.4	20-43	.465	22-73	.301
46	Sr	6-8	Aleem Ford	Wisconsin	B10	65.5	3.7	15.1	8.4	2.1	1.4	13.2	53-109	.486	46-134	.343
47	Sr	6-10	Alessandro Lever	Grand Canyon	WAC	74.0	7.0	13.5	11.3	0.8	0.6	36.5	75-129	.581	28-74	.378
48	Jr	6-4	Alex Arians	South Dakota St.	Sum	79.8	0.4	16.6	12.8	0.9	0.6	51.4	44-82	.537	27-60	.450
49	Sr	6-2	Alex Barcello	BYU	WCC	79.8	1.8	13.7	25.7	0.0	1.8	35.1	89-165	.539	50-106	.472
50	Sr	5-11	Alex Hunter	Furman	SC	81.5	1.5	11.3	18.7	0.0	1.7	11.1	32-50	.640	57-140	.407
51	Sr	6-8	Alex King	Army	Pat	73.3	3.7	15.4	12.0	1.1	1.0	23.7	73-106	.689	29-84	.345
52	Fr	6-9	Alex Merkviladze	Cal St. Northridge	BW	70.4	4.0	24.5	7.5	1.0	0.8	23.0	47-102	.461	27-72	.375
53	Sr	6-6	Alex Morales	Wagner	NEC	86.9	8.6	16.2	25.1	1.7	3.0	33.3	104-219	.475	20-63	.317
54	Jr	6-7	Alex Peterson	Kennesaw St.	ASun	66.5	8.4	17.6	4.0	1.7	1.2	44.7	66-120	.550	0-3	.000
55	So	6-1	Alex Rivera	LIU Brooklyn	NEC	71.0	3.7	7.8	11.2	1.2	1.2	21.9	25-47	.532	30-90	.333
56	Sr	6-3	Alex Watson	Sacred Heart	NEC	66.0	1.8	8.3	17.7	0.6	1.7	40.0	24-48	.500	18-52	.346
57	Sr	6-6	Alexander Perry	Mississippi Valley S	SWAC	50.5	3.6	12.7	12.0	1.0	0.8	35.2	11-55	.200	14-53	.264
58	Jr	6-8	Alexis Yetna	South Florida	Amer	50.2	9.8	20.8	6.9	2.9	0.8	25.4	38-66	.576	15-52	.288
59	Sr	6-1	Alfonso Plummer	Utah	P12	69.8	1.3	7.9	7.5	0.2	1.5	12.1	60-114	.526	64-167	.383
60	So	6-8	Ali Ali	Akron	MAC	60.9	4.3	11.5	10.4	1.1	0.7	28.8	31-57	.544	21-61	.344
61	So	6-8	Alimamy Koroma	Cal Poly	BW	53.0	7.6	21.6	7.2	4.8	1.0	41.5	85-167	.509	19-50	.380
62	Sr	6-4	Aljami Durham	Indiana	B10	75.8	1.2	10.0	16.4	0.4	1.0	46.0	49-124	.395	38-100	.380
63	Jr	6-8	Aljaz Kunc	Washington St.	P12	41.2	7.6	16.6	5.6	0.7	1.9	36.4	24-45	.533	21-62	.339
64	So	6-6	Allen Flanigan	Auburn	SEC	75.2	3.6	15.5	18.9	0.6	1.6	46.6	78-138	.565	44-130	.338
65	So	6-2	Allen Powell	Rider	MAAC	71.4	0.2	4.2	12.0	0.9	1.4	14.3	31-84	.369	37-84	.440
66	Jr	6-7	Allin Blunt	UMass Lowell	AE	72.7	3.1	6.5	6.9	0.5	0.6	34.0	25-86	.291	19-55	.345
67	Sr	6-5	Alondes Williams	Oklahoma	B12	40.5	4.9	12.2	14.1	1.5	2.2	23.0	61-111	.550	4-24	.167
68	Jr	6-7	Alonzo Sule	Texas St.	SB	51.6	7.0	11.1	10.3	3.1	1.3	32.0	70-145	.483	0-2	.000
69	Sr	6-2	Alonzo Verge Jr.	Arizona St.	P12	67.8	2.2	13.1	26.1	0.6	2.3	31.3	84-203	.414	27-81	.333
