,pick,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
0,46,Fr,A.J. Hammons,57.4,11.6,17.3,6.2,8.7,0.9,41.0,0.495,0.0
1,46,So,A.J. Hammons,59.6,10.1,22.8,4.2,13.2,0.9,62.2,0.518,0.0
2,46,Jr,A.J. Hammons,60.1,12.2,19.7,9.1,12.3,1.3,46.7,0.5529999999999999,0.0
3,46,Sr,A.J. Hammons,57.5,11.5,24.8,10.5,10.4,0.7,37.8,0.594,0.545
4,52,Jr,A.J. Price,79.7,2.8,8.1,36.1,0.3,2.3,38.8,0.48,0.369
5,52,Sr,A.J. Price,73.0,2.1,9.2,28.5,0.0,1.2,30.3,0.42200000000000004,0.39799999999999996
6,4,Fr,Aaron Gordon,77.1,10.4,19.3,13.0,3.4,1.8,47.1,0.513,0.35600000000000004
7,23,Fr,Aaron Holiday,78.2,2.0,7.8,21.1,0.8,2.5,30.4,0.38299999999999995,0.419
8,23,So,Aaron Holiday,65.8,1.5,9.5,24.4,0.6,2.2,35.9,0.539,0.41100000000000003
9,23,Jr,Aaron Holiday,92.1,1.6,8.7,29.9,0.7,1.9,41.7,0.486,0.429
10,14,Fr,Aaron Nesmith,72.2,4.2,17.3,10.8,2.1,1.4,27.5,0.474,0.337
11,49,Fr,Aaron White,59.6,10.1,17.8,7.7,3.0,2.2,53.0,0.569,0.27899999999999997
12,49,So,Aaron White,72.4,9.0,13.8,9.8,2.5,2.3,85.7,0.5429999999999999,0.21899999999999997
13,49,Jr,Aaron White,69.3,6.8,19.0,12.2,2.3,2.0,65.7,0.631,0.258
14,49,Sr,Aaron White,78.1,7.7,18.5,10.2,1.7,2.6,72.6,0.5579999999999999,0.35600000000000004
15,58,Fr,Abdel Nader,61.2,4.0,17.4,12.6,4.1,1.7,26.8,0.34600000000000003,0.298
16,58,So,Abdel Nader,41.5,6.3,22.0,13.0,3.1,3.3,21.6,0.371,0.27699999999999997
17,58,Sr,Abdel Nader,76.9,2.9,14.3,8.0,2.2,1.9,31.5,0.5529999999999999,0.371
18,42,Fr,Admiral Schofield,44.0,7.3,14.8,9.7,1.7,1.1,18.8,0.54,0.301
19,42,So,Admiral Schofield,42.8,5.1,20.1,8.4,1.0,0.9,39.5,0.483,0.389
20,42,Jr,Admiral Schofield,69.6,6.7,19.4,11.8,1.8,2.1,22.7,0.483,0.395
21,42,Sr,Admiral Schofield,78.2,4.5,16.3,11.7,1.7,1.6,17.6,0.502,0.42200000000000004
22,15,So,Adreian Payne,44.5,11.0,16.9,3.6,6.9,2.3,51.4,0.5670000000000001,0.5
23,15,Jr,Adreian Payne,64.6,9.9,24.0,6.0,5.5,1.8,41.6,0.5820000000000001,0.381
24,15,Sr,Adreian Payne,56.7,6.8,22.9,10.2,3.8,1.0,39.0,0.536,0.423
