,pick,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
0,46,Sr,A.J. Hammons,57.5,11.5,24.8,10.5,10.4,0.7,37.8,0.594,0.545
1,52,Sr,A.J. Price,73.0,2.1,9.2,28.5,0.0,1.2,30.3,0.422,0.398
2,4,Fr,Aaron Gordon,77.1,10.4,19.3,13.0,3.4,1.8,47.1,0.513,0.35600000000000004
3,23,Jr,Aaron Holiday,92.1,1.6,8.7,29.9,0.7,1.9,41.7,0.486,0.429
4,14,Fr,Aaron Nesmith,72.2,4.2,17.3,10.8,2.1,1.4,27.5,0.474,0.337
5,49,Sr,Aaron White,78.1,7.7,18.5,10.2,1.7,2.6,72.6,0.5579999999999999,0.35600000000000004
6,58,Sr,Abdel Nader,76.9,2.9,14.3,8.0,2.2,1.9,31.5,0.5529999999999999,0.371
7,42,Sr,Admiral Schofield,78.2,4.5,16.3,11.7,1.7,1.6,17.6,0.502,0.422
8,15,Sr,Adreian Payne,56.7,6.8,22.9,10.2,3.8,1.0,39.0,0.536,0.423
9,56,Sr,Ahmad Nivins,96.5,12.5,22.6,6.1,4.6,1.3,77.0,0.614,0.0
10,8,So,Al-Farouq Aminu,76.4,14.6,20.5,9.1,4.5,2.6,53.2,0.484,0.273
11,50,Sr,Alec Brown,73.3,7.7,12.6,7.7,9.7,1.1,34.5,0.5,0.446
12,12,So,Alec Burks,78.2,9.1,14.7,19.8,1.0,2.0,57.8,0.511,0.295
13,54,Sr,Alec Peters,76.3,8.0,23.2,15.0,1.0,1.2,42.8,0.514,0.369
14,5,So,Alex Len,65.8,13.2,19.3,7.8,8.0,0.5,47.2,0.544,0.125
15,57,Sr,Alex Oriakhi,64.1,14.1,21.5,2.6,6.4,1.3,65.7,0.639,0.0
16,50,Sr,Alize Johnson,78.5,11.5,30.6,19.2,1.5,0.8,37.0,0.514,0.28
17,31,Jr,Allen Crabbe,90.2,3.3,14.8,16.2,1.9,1.9,29.7,0.532,0.348
18,9,Fr,Andre Drummond,70.3,14.2,15.5,3.4,9.9,1.8,30.1,0.541,0.0
19,26,Jr,Andre Roberson,77.3,10.6,27.1,9.4,4.4,3.9,35.6,0.521,0.328
20,46,Sr,Andrew Goudelock,88.0,2.3,9.9,26.4,0.5,1.5,19.2,0.496,0.407
21,44,So,Andrew Harrison,63.1,1.7,8.1,26.0,0.9,2.5,59.6,0.376,0.383
22,19,Sr,Andrew Nicholson,74.3,11.2,22.8,9.4,7.3,1.3,42.9,0.593,0.434
23,1,Fr,Andrew Wiggins,81.4,8.4,12.3,9.2,3.1,2.1,53.8,0.493,0.341
24,38,Sr,Andy Rautins,81.2,2.0,8.8,23.9,0.8,3.4,27.3,0.5710000000000001,0.407
25,1,Fr,Anthony Bennett,67.8,9.9,21.3,8.2,4.3,1.5,46.0,0.5760000000000001,0.383
26,34,Sr,Anthony Brown,87.7,3.8,18.8,15.2,0.6,1.3,35.8,0.424,0.441
27,1,Fr,Anthony Davis,80.1,11.6,23.9,7.5,13.7,2.5,60.2,0.653,0.15
28,1,Fr,Anthony Edwards,81.3,2.4,14.5,17.9,1.6,2.3,33.8,0.502,0.29100000000000004
29,14,Fr,Anthony Randolph,81.7,9.8,18.3,8.4,6.7,2.0,42.6,0.476,0.105
30,29,Fr,Archie Goodwin,78.8,5.6,10.4,16.8,1.4,2.1,59.4,0.478,0.266
31,34,Jr,Armon Johnson,86.4,2.7,7.7,29.8,0.9,1.4,26.7,0.536,0.243
